country_code,country,latitude,longitude
AT,Austria,48.2,16.367
KR,Republic of Korea,37.57,126.98
SE,Sweden,59.333,18.05
BR,Brazil,-15.784,-47.917
GB,United Kingdom,54.617,-1.07
US,United States,40.711,-73.947
GB,United Kingdom,54.648,-2.815
PH,Philippines,14.583,120.967
IN,India,26.399,90.272
NL,Netherlands,52.083,5.083
US,United States,31.207,-83.251
US,United States,38,-97
GB,United Kingdom,51.517,-0.097
IN,India,20,77
US,United States,41.039,-96.369
PH,Philippines,14.583,120.967
GB,United Kingdom,53.326,-1.187
US,United States,32.841,-80.107
US,United States,39.022,-94.316
US,United States,38,-97
IN,India,20,77
NL,Netherlands,52.367,4.9
IN,India,20,77
GB,United Kingdom,50.963,-0.149
GB,United Kingdom,55.953,-3.201
US,United States,41.292,-96.172
BE,Belgium,51.217,3.233
IE,Ireland,53.348,-6.26
US,United States,44.025,-88.543
US,United States,41.299,-96.167
IN,India,20,77
IT,Italy,45.583,12.321
ZA,South Africa,-33.931,18.845
US,United States,38.825,-90.729
AT,Austria,48.2,16.367
IN,India,28.667,77.217
US,United States,38,-97
GB,United Kingdom,53.098,-1.117
IN,India,20,77
GB,United Kingdom,51.5,-0.13
US,United States,43.156,-77.604
US,United States,42.099,-75.918
US,United States,38,-97
GB,United Kingdom,51.652,-3.232
US,United States,37.35,-121.986
DK,Denmark,57.444,10.547
US,United States,29.548,-98.292
AT,Austria,47.483,16.483
AU,Australia,-37.814,144.963
IN,India,17.45,78.5
US,United States,41.299,-96.047
GB,United Kingdom,51.5,-0.13
US,United States,38.9,-94.706
GB,United Kingdom,51.35,-0.712
CH,Switzerland,47,8
IR,Iran,32.657,51.678
AU,Australia,-37.814,144.963
GB,United Kingdom,51.5,-0.13
IR,Iran,35.696,51.423
SA,Saudi Arabia,24.654,46.715
US,United States,38.887,-77.097
DE,Germany,51,9
CN,China,39.929,116.388
US,United States,41.039,-96.369
US,United States,42.563,-89.792
US,United States,41.259,-95.938
US,United States,39.679,-86.128
US,United States,39.193,-76.725
US,United States,41.259,-95.938
IL,Israel,31.5,34.75
CA,Canada,42.875,-79.237
IN,India,28.6,77.2
US,United States,42.353,-71.189
AT,Austria,48.2,16.367
IN,India,20,77
DE,Germany,51,9
US,United States,35.769,-119.248
US,United States,33.767,-118.19
CA,Canada,45.413,-75.691
IN,India,20,77
PH,Philippines,14.583,120.967
IN,India,12.933,79.133
US,United States,45.651,-111.178
DK,Denmark,55.676,12.568
GB,United Kingdom,54.337,-2.321
RO,Romania,46.767,23.6
US,United States,33.767,-118.19
US,United States,37.354,-121.956
US,United States,38.663,-90.578
GB,United Kingdom,52.209,0.148
PK,Pakistan,24.906,67.082
US,United States,41.488,-81.673
BE,Belgium,51.217,3.233
VG,British Virgin Islands,18.417,-64.617
US,United States,40.67,-73.873
US,United States,38.735,-77.08
US,United States,37.44,-121.871
CA,Canada,53.468,-113.434
GB,United Kingdom,51.5,-0.13
IT,Italy,45.494,12.105
IN,India,20,77
US,United States,41.292,-96.172
US,United States,40.356,-111.733
AU,Australia,-27.485,153.02
US,United States,47.551,-122.375
US,United States,38,-97
IN,India,20,77
PK,Pakistan,33.69,73.055
US,United States,35.913,-79.056
US,United States,42.871,-112.446
MY,Malaysia,1.87,103.616
TR,Turkey,41.019,28.965
IN,India,20,77
AE,United Arab Emirates,25.258,55.305
RU,Russia,55.752,37.616
US,United States,38,-97
NL,Netherlands,52.367,4.9
US,United States,35.994,-78.899
IR,Iran,35.696,51.423
GB,United Kingdom,51.265,0.566
US,United States,26.025,-80.296
US,United States,41.17,-81.197
JP,Japan,34.717,135.417
IN,India,20,77
US,United States,27.326,-82.474
FI,Finland,60.171,24.938
IN,India,18.975,72.826
US,United States,37.425,-121.946
US,United States,47.899,-122.259
AT,Austria,48.35,16.333
FR,France,48.86,2.35
GB,United Kingdom,53.962,-1.887
US,United States,41.292,-96.172
US,United States,34.228,-84.178
PH,Philippines,14.583,120.967
US,United States,41.039,-96.369
US,United States,33.341,-112.06
GB,United Kingdom,53.681,-1.79
US,United States,41.922,-87.756
CN,China,26.583,106.717
DE,Germany,51,9
US,United States,40.714,-74.006
CH,Switzerland,47.367,8.55
US,United States,35.99,-83.963
CA,Canada,43.643,-79.388
